club_name,club_page,insta_url
UW Charity Knitting Circle,https://clubs.wusa.ca/clubs/247,https://www.instagram.com/knituw/
UW Chinese Instrumental Orchestra,https://clubs.wusa.ca/clubs/373,Not found
UW Cuban Salsa Club,https://clubs.wusa.ca/clubs/283,https://www.instagram.com/waterloocubansalsaclub
UW Dhamaka,https://clubs.wusa.ca/clubs/488,https://www.instagram.com/uw.dhamaka/
UW Diabetes Association (UWDA),https://clubs.wusa.ca/clubs/497,Not found
UW EmpowerCycle,https://clubs.wusa.ca/clubs/473,https://www.instagram.com/uwempowercycle
UW Kpop Club,https://clubs.wusa.ca/clubs/461,https://www.instagram.com/uwkpopclub
UW Management Consulting Club,https://clubs.wusa.ca/clubs/346,https://www.instagram.com/uwmcc
UW Mehfil,https://clubs.wusa.ca/clubs/557,https://www.instagram.com/uw.mehfil
UW Operation Smile,https://clubs.wusa.ca/clubs/444,https://instagram.com/uwoperationsmile
UW Persian Student Association,https://clubs.wusa.ca/clubs/579,https://www.instagram.com/uwpersianssa
UW Poker Studies Club,https://clubs.wusa.ca/clubs/340,https://www.instagram.com/uwpokerclub
UW Pre-Med Club,https://clubs.wusa.ca/clubs/317,https://www.instagram.com/uwaterloopremed
UW Quizbowl,https://clubs.wusa.ca/clubs/368,https://instagram.com/uwquizbowl
UW Scrabble,https://clubs.wusa.ca/clubs/566,https://www.instagram.com/uwscrabble/
UW Sew-Ciety,https://clubs.wusa.ca/clubs/580,https://www.instagram.com/uwsewciety
UW Stem Cell Club (Formerly UW One Match),https://clubs.wusa.ca/clubs/139,https://www.instagram.com/uwaterloostemcellclub
UW Street Dance,https://clubs.wusa.ca/clubs/345,https://www.instagram.com/uwstreetdance
UW Supporting SickKids,https://clubs.wusa.ca/clubs/443,https://instagram.com/UWSupportingSickKids
UW Tetris Club,https://clubs.wusa.ca/clubs/453,https://www.instagram.com/uwtetris
UW/UX,https://clubs.wusa.ca/clubs/574,https://www.instagram.com/uw_ux
UWBobaTime,https://clubs.wusa.ca/clubs/476,https://instagram.com/uwbobatime
UWTSS - UW Taiwanese Student Society,https://clubs.wusa.ca/clubs/406,https://instagram.com/UWTSS
UWU FC - University of Waterloo Undergraduate Furry Club,https://clubs.wusa.ca/clubs/576,Not found
UWVSA (University of Waterloo Vietnamese Student Association),https://clubs.wusa.ca/clubs/251,https://www.instagram.com/uwvsa/
UWaterloo Chai and Verse,https://clubs.wusa.ca/clubs/512,https://www.instagram.com/uwchaiandverse/
UWaterloo Meditates,https://clubs.wusa.ca/clubs/561,Not found
"Unicef, UW",https://clubs.wusa.ca/clubs/196,https://www.instagram.com/unicefuwaterloo
University of Waterloo Airsoft and Precision Sports Club (UWAPC),https://clubs.wusa.ca/clubs/567,https://www.instagram.com/uwapc
University of Waterloo Bhangra,https://clubs.wusa.ca/clubs/465,https://www.instagram.com/uwaterloobhangra
University of Waterloo Canadian Association on Gerontology Student Connection (UWCAG),https://clubs.wusa.ca/clubs/446,https://instagram.com/uwcag
University of Waterloo Cantonese Chinese Christian Fellowship,https://clubs.wusa.ca/clubs/232,Not found
University of Waterloo Entomology Club,https://clubs.wusa.ca/clubs/526,https://www.instagram.com/uw.entomology/
University of Waterloo Filipino Students' Association,https://clubs.wusa.ca/clubs/80,https://www.instagram.com/uw.fsa/
University of Waterloo Japanese Students Association (UW JSA),https://clubs.wusa.ca/clubs/260,https://www.instagram.com/uw_jsa/
University of Waterloo Korean Students’ Association,https://clubs.wusa.ca/clubs/513,https://www.instagram.com/uwaterloo_ksa
University of Waterloo Moot Court,https://clubs.wusa.ca/clubs/392,https://www.instagram.com/uwmoot/
University of Waterloo New Democratic Party,https://clubs.wusa.ca/clubs/522,https://www.instagram.com/uwaterloondp/
University of Waterloo Skateboarding Club,https://clubs.wusa.ca/clubs/577,https://www.instagram.com/uwskate
University of Waterloo Zoology Club,https://clubs.wusa.ca/clubs/499,https://www.instagram.com/uwzoologyclub
University of Waterloo's Beauty Club (UWBC),https://clubs.wusa.ca/clubs/551,https://www.instagram.com/uwbeautyclub/
University of Waterloo’s Neuroscience Association (UWNSA),https://clubs.wusa.ca/clubs/137,https://www.instagram.com/uwneuro
"Visual Arts Club, UW",https://clubs.wusa.ca/clubs/204,https://www.instagram.com/uwvisualartsclub/
Voices for Palestine,https://clubs.wusa.ca/clubs/182,https://www.instagram.com/uwvfp
WaterBoo!,https://clubs.wusa.ca/clubs/372,https://www.instagram.com/waterboo_uw/
Waterloo Arab Student Association,https://clubs.wusa.ca/clubs/375,Not found
Waterloo Hockey Club,https://clubs.wusa.ca/clubs/510,https://www.instagram.com/uwhockeyclub/
Waterloo Ismaili Students' Association,https://clubs.wusa.ca/clubs/208,Not found
Waterloo Laadliyan,https://clubs.wusa.ca/clubs/581,https://www.instagram.com/waterloolaadliyan
Waterloo Movie Watchers Club,https://clubs.wusa.ca/clubs/279,https://www.instagram.com/uw.movie.watchers
Waterloo Quantum Club,https://clubs.wusa.ca/clubs/575,https://www.instagram.com/uwquantum
Waterloo Real Estate Association,https://clubs.wusa.ca/clubs/528,https://www.instagram.com/wreaclub
Waterloo Science Fiction & Fantasy Club (WATSFIC),https://clubs.wusa.ca/clubs/211,https://www.instagram.com/uwatsfic
Waterloo Snow Coalition,https://clubs.wusa.ca/clubs/370,https://www.instagram.com/waterloosnowco/
Waterloo Students and Microbiology (WatSAM),https://clubs.wusa.ca/clubs/459,https://instagram.com/uw_watsam
"Women in Science, Technology, Engineering, and Mathematics (WiSTEM)",https://clubs.wusa.ca/clubs/284,https://www.instagram.com/uwwistem
Yugioh Club,https://clubs.wusa.ca/clubs/424,https://www.instagram.com/uwyugioh/
"osu! Club, UW",https://clubs.wusa.ca/clubs/367,Not found
uWaTNA,https://clubs.wusa.ca/clubs/297,https://www.instagram.com/uwatna
